"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2019";"0000";"18,5";"18,7";"18,4";"91,0";"92,0";"91,0";"17,0";"17,3";"16,9";"887,0";"887,0";"886,6";"2,0";"330,0";"5,3";"";"1,0"
"01/01/2019";"0100";"18,4";"18,5";"18,3";"92,0";"92,0";"91,0";"17,1";"17,2";"16,9";"888,1";"888,1";"887,0";"0,8";"326,0";"4,3";"";"0,0"
"01/01/2019";"0200";"18,5";"18,6";"18,3";"93,0";"93,0";"92,0";"17,3";"17,4";"17,1";"888,2";"888,3";"888,1";"1,3";"340,0";"2,2";"";"0,0"
"01/01/2019";"0300";"18,4";"18,7";"18,4";"92,0";"93,0";"92,0";"17,1";"17,5";"17,1";"887,6";"888,2";"887,6";"1,4";"351,0";"2,2";"";"0,4"
"01/01/2019";"0400";"17,9";"18,4";"17,9";"93,0";"93,0";"92,0";"16,7";"17,2";"16,7";"887,0";"887,6";"887,0";"1,3";"343,0";"2,0";"";"0,0"
"01/01/2019";"0500";"17,9";"18,3";"17,9";"93,0";"94,0";"93,0";"16,7";"17,3";"16,7";"886,8";"887,0";"886,6";"0,7";"337,0";"2,0";"";"0,0"
"01/01/2019";"0600";"18,2";"18,3";"17,8";"94,0";"94,0";"93,0";"17,2";"17,3";"16,7";"886,8";"886,8";"886,7";"0,3";"81,0";"1,7";"";"0,0"
"01/01/2019";"0700";"18,2";"18,3";"18,0";"93,0";"94,0";"93,0";"16,9";"17,2";"16,9";"886,9";"887,0";"886,7";"0,6";"69,0";"2,2";"";"0,0"
"01/01/2019";"0800";"18,4";"18,5";"18,1";"90,0";"93,0";"90,0";"16,7";"16,9";"16,7";"887,2";"887,3";"886,9";"1,1";"48,0";"2,1";"";"0,0"
"01/01/2019";"0900";"18,0";"18,4";"18,0";"92,0";"92,0";"90,0";"16,7";"16,9";"16,6";"887,7";"887,7";"887,2";"0,9";"278,0";"2,5";"";"0,0"
"01/01/2019";"1000";"18,7";"18,7";"18,0";"93,0";"93,0";"92,0";"17,6";"17,6";"16,8";"888,5";"888,6";"887,7";"0,3";"10,0";"1,1";"36,90";"0,0"
"01/01/2019";"1100";"19,0";"19,1";"18,6";"91,0";"93,0";"91,0";"17,5";"17,9";"17,4";"889,4";"889,4";"888,5";"1,3";"181,0";"2,8";"121,00";"0,0"
"01/01/2019";"1200";"19,6";"19,7";"18,9";"89,0";"91,0";"89,0";"17,8";"18,1";"17,5";"889,7";"889,7";"889,4";"0,9";"185,0";"2,8";"411,10";"0,0"
"01/01/2019";"1300";"22,2";"22,3";"19,6";"73,0";"90,0";"73,0";"17,1";"18,5";"17,1";"890,0";"890,0";"889,7";"1,1";"240,0";"2,3";"1304,60";"0,0"
"01/01/2019";"1400";"24,2";"24,2";"22,2";"66,0";"76,0";"64,0";"17,4";"18,0";"16,2";"889,9";"890,0";"889,9";"1,2";"65,0";"3,0";"2052,10";"0,0"
"01/01/2019";"1500";"24,8";"25,1";"23,7";"71,0";"73,0";"57,0";"19,2";"19,2";"15,3";"889,2";"889,9";"889,2";"1,7";"103,0";"4,5";"2784,60";"0,0"
"01/01/2019";"1600";"23,4";"26,2";"23,3";"68,0";"73,0";"53,0";"17,1";"19,0";"15,5";"888,7";"889,2";"888,7";"2,8";"216,0";"6,0";"3098,30";"0,0"
"01/01/2019";"1700";"22,5";"23,9";"22,4";"74,0";"75,0";"65,0";"17,8";"17,9";"16,7";"888,0";"888,7";"888,0";"3,3";"95,0";"6,5";"880,50";"0,0"
