Nome da Origem;Data;Temp. Ins. (C)
temperatura_historico_DF_01.csv;01/01/2019;18,5
temperatura_historico_DF_01.csv;01/01/2019;18,4
temperatura_historico_DF_01.csv;01/01/2019;18,5
temperatura_historico_DF_01.csv;01/01/2019;18,4
temperatura_historico_DF_01.csv;01/01/2019;17,9
temperatura_historico_DF_01.csv;01/01/2019;17,9
temperatura_historico_DF_01.csv;01/01/2019;18,2
temperatura_historico_DF_01.csv;01/01/2019;18,2
temperatura_historico_DF_01.csv;01/01/2019;18,4
temperatura_historico_DF_01.csv;01/01/2019;18
temperatura_historico_DF_01.csv;01/01/2019;18,7
temperatura_historico_DF_01.csv;01/01/2019;19
temperatura_historico_DF_01.csv;01/01/2019;19,6
temperatura_historico_DF_01.csv;01/01/2019;22,2
temperatura_historico_DF_01.csv;01/01/2019;24,2
temperatura_historico_DF_01.csv;01/01/2019;24,8
temperatura_historico_DF_01.csv;01/01/2019;23,4
temperatura_historico_DF_01.csv;01/01/2019;22,5
temperatura_historico_DF_01.csv;01/01/2019;22,3
temperatura_historico_DF_01.csv;01/01/2019;22,8
temperatura_historico_DF_01.csv;01/01/2019;24
temperatura_historico_DF_01.csv;01/01/2019;23
temperatura_historico_DF_01.csv;01/01/2019;22,3
temperatura_historico_DF_01.csv;01/01/2019;21,3
temperatura_historico_DF_01.csv;02/01/2019;20,6
temperatura_historico_DF_01.csv;02/01/2019;20,1
temperatura_historico_DF_01.csv;02/01/2019;18,3
temperatura_historico_DF_01.csv;02/01/2019;17,8
temperatura_historico_DF_01.csv;02/01/2019;19
temperatura_historico_DF_01.csv;02/01/2019;17,9
temperatura_historico_DF_01.csv;02/01/2019;17,3
temperatura_historico_DF_01.csv;02/01/2019;17,8
temperatura_historico_DF_01.csv;02/01/2019;16,9
temperatura_historico_DF_01.csv;02/01/2019;18,2
temperatura_historico_DF_01.csv;02/01/2019;20,8
temperatura_historico_DF_01.csv;02/01/2019;21,9
temperatura_historico_DF_01.csv;02/01/2019;23,5
temperatura_historico_DF_01.csv;02/01/2019;24,8
temperatura_historico_DF_01.csv;02/01/2019;26
temperatura_historico_DF_01.csv;02/01/2019;26,8
temperatura_historico_DF_01.csv;02/01/2019;27,4
temperatura_historico_DF_01.csv;02/01/2019;28,2
temperatura_historico_DF_01.csv;02/01/2019;28,5
temperatura_historico_DF_01.csv;02/01/2019;28,6
temperatura_historico_DF_01.csv;02/01/2019;28,5
temperatura_historico_DF_01.csv;02/01/2019;26,8
temperatura_historico_DF_01.csv;02/01/2019;25,3
